Filename,Additional Info,Target Directory
TRT00003119,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003120,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003121,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003122,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003123,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003100,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00027056,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00024869,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00026636,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000407,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
